,precision,recall,f1-score,support
amu_exc_joy_lov,0.7874186550976139,0.750775594622544,0.7686606670195871,967.0
des_opt_car,0.6506410256410257,0.49271844660194175,0.5607734806629834,412.0
dis_ang_ann_dis,0.6181818181818182,0.40696409140369966,0.4908136482939633,919.0
fea_ner,0.6622516556291391,0.6211180124223602,0.641025641025641,161.0
neutral,0.660062817105581,0.784606547960942,0.7169662773914184,3482.0
pri_adm_gra_rel_app_rea,0.7144420131291028,0.7255555555555555,0.7199558985667033,1800.0
rem_emb_dis_sad_gri,0.6714285714285714,0.6070110701107011,0.6375968992248062,542.0
sur_cur_con,0.6478260869565218,0.4775641025641026,0.5498154981549815,624.0
accuracy,0.6812619288200292,0.6812619288200292,0.6812619288200292,0.6812619288200292
macro avg,0.6765315803961717,0.6082891776552308,0.6357010012925106,8907.0
weighted avg,0.6799956962252218,0.6812619288200292,0.6747115746664318,8907.0
