,precision,recall,f1-score,support
admiration,0.6170212765957447,0.6207191780821918,0.6188647033717456,1168.0
aggressiveness,0.85,0.7391304347826086,0.7906976744186046,69.0
amazement,0.6147540983606558,0.43859649122807015,0.5119453924914676,342.0
awe,0.8439597315436241,0.8439597315436241,0.8439597315436242,596.0
disapproval,0.37333333333333335,0.208955223880597,0.2679425837320574,134.0
ecstasy,0.6711051930758988,0.7777777777777778,0.7205146533238027,648.0
grief,0.6051660516605166,0.6919831223628692,0.6456692913385828,237.0
loathing,0.5144927536231884,0.34299516908212563,0.41159420289855064,414.0
love,0.6767676767676768,0.8312655086848635,0.7461024498886415,403.0
neutral,0.6984743411927878,0.723147616312464,0.7105968675038803,3482.0
optimism,0.5849056603773585,0.5871212121212122,0.5860113421550096,264.0
rage,0.5691609977324263,0.497029702970297,0.5306553911205074,505.0
remorse,0.5663716814159292,0.7901234567901234,0.6597938144329897,81.0
terror,0.7088607594936709,0.6956521739130435,0.7021943573667712,161.0
vigilance,0.46981627296587924,0.44527363184079605,0.45721583652618136,402.0
accuracy,0.6603413429148889,0.6603413429148889,0.6603413429148889,0.6603413429148889
macro avg,0.6242793218759126,0.6155820287581776,0.6135838861408278,8906.0
weighted avg,0.6545518972487289,0.6603413429148889,0.6545768879983594,8906.0
