,precision,recall,f1-score,support
admiration,0.672463768115942,0.7483870967741936,0.7083969465648855,620.0
amusement,0.6952595936794582,0.8301886792452831,0.7567567567567567,371.0
anger,0.44495412844036697,0.4330357142857143,0.4389140271493213,224.0
annoyance,0.32941176470588235,0.19858156028368795,0.24778761061946905,282.0
approval,0.4652173913043478,0.25970873786407767,0.3333333333333333,412.0
caring,0.41007194244604317,0.40425531914893614,0.4071428571428572,141.0
confusion,0.5241379310344828,0.40425531914893614,0.4564564564564565,188.0
curiosity,0.5160256410256411,0.5709219858156028,0.5420875420875421,282.0
desire,0.6153846153846154,0.5714285714285714,0.5925925925925927,84.0
disappointment,0.2903225806451613,0.2,0.2368421052631579,135.0
disapproval,0.36716417910447763,0.3929712460063898,0.37962962962962965,313.0
disgust,0.4690265486725664,0.5145631067961165,0.4907407407407407,103.0
embarrassment,0.574468085106383,0.5869565217391305,0.5806451612903226,46.0
excitement,0.4722222222222222,0.33663366336633666,0.393063583815029,101.0
fear,0.7078651685393258,0.7241379310344828,0.7159090909090908,87.0
gratitude,0.8978805394990366,0.8978805394990366,0.8978805394990366,519.0
grief,0.0,0.0,0.0,8.0
joy,0.5405405405405406,0.5586592178770949,0.5494505494505495,179.0
love,0.727735368956743,0.88,0.796657381615599,325.0
nervousness,0.38461538461538464,0.25,0.30303030303030304,20.0
neutral,0.6865631691648822,0.7345360824742269,0.7097399003873824,3492.0
optimism,0.59375,0.6031746031746031,0.5984251968503936,189.0
pride,0.0,0.0,0.0,14.0
realization,0.5,0.15,0.23076923076923075,120.0
relief,0.0,0.0,0.0,21.0
remorse,0.6701030927835051,0.8024691358024691,0.7303370786516855,81.0
sadness,0.6287878787878788,0.5,0.5570469798657718,166.0
surprise,0.5323383084577115,0.6903225806451613,0.601123595505618,155.0
accuracy,0.6349389260198203,0.6349389260198203,0.6349389260198203,0.6349389260198203
macro avg,0.48986820868687847,0.47296670044321604,0.4733842567848841,8678.0
weighted avg,0.618648508386065,0.6349389260198203,0.621655597631656,8678.0
