,precision,recall,f1-score,support
admiration,0.6367969494756911,0.5694799658994032,0.6012601260126013,1173.0
aggressiveness,0.0,0.0,0.0,14.0
amazement,0.5672514619883041,0.563953488372093,0.565597667638484,344.0
awe,0.8377926421404682,0.8867256637168142,0.8615649183147033,565.0
disapproval,0.47368421052631576,0.26666666666666666,0.3412322274881517,135.0
ecstasy,0.7106060606060606,0.7204301075268817,0.715484363081617,651.0
grief,0.5987261146496815,0.5402298850574713,0.5679758308157099,174.0
loathing,0.5245901639344263,0.3855421686746988,0.4444444444444444,415.0
love,0.7171052631578947,0.7995110024449877,0.7560693641618498,409.0
neutral,0.686547895688097,0.7614547537227949,0.7220638153428378,3492.0
optimism,0.6497175141242938,0.5502392344497608,0.5958549222797928,209.0
rage,0.5431578947368421,0.5098814229249012,0.525993883792049,506.0
remorse,0.5945945945945946,0.8148148148148148,0.6875,81.0
terror,0.7307692307692307,0.7169811320754716,0.7238095238095238,106.0
vigilance,0.5306122448979592,0.3870967741935484,0.44763271162123386,403.0
accuracy,0.6660135991702201,0.6660135991702201,0.6660135991702201,0.6660135991702201
macro avg,0.5867968160859908,0.5648671387026872,0.5704322532535333,8677.0
weighted avg,0.6574502637094118,0.6660135991702201,0.6587437943751809,8677.0
